model,source,group,tool,sample_seq,abs_b_deg,abs_c_deg,trusted_holdout,residual_x_mm,residual_y_mm,residual_z_mm,residual_norm_mm
current,positive_b_baseline,positive_b_baseline_t3,3,1,0.000000,0.000000,1,0.002547032,-0.046348742,-0.013746677,0.048411408
current,positive_b_baseline,positive_b_baseline_t3,3,2,0.000000,45.000000,1,-0.017584968,-0.018406742,-0.009913677,0.027318862
current,positive_b_baseline,positive_b_baseline_t3,3,3,0.000000,90.000000,1,-0.018632968,0.006395258,0.002252323,0.019828257
current,positive_b_baseline,positive_b_baseline_t3,3,4,0.000000,135.000000,1,-0.047372968,0.007479258,0.014419323,0.050080478
current,positive_b_baseline,positive_b_baseline_t3,3,5,0.000000,180.000000,1,-0.046013968,0.001431258,0.021585323,0.050845451
current,positive_b_baseline,positive_b_baseline_t3,3,6,0.000000,225.000000,1,-0.032802968,-0.024358742,0.022085323,0.046445069
current,positive_b_baseline,positive_b_baseline_t3,3,7,0.000000,270.000000,1,0.007440032,-0.056478742,0.014251323,0.058722249
current,positive_b_baseline,positive_b_baseline_t3,3,8,0.000000,315.000000,1,0.009555032,-0.060215742,-0.001082677,0.060978737
current,positive_b_baseline,positive_b_baseline_t3,3,9,0.000000,0.000000,1,0.000893032,-0.041256742,-0.012249677,0.043046148
current,positive_b_baseline,positive_b_baseline_t3,3,10,5.000000,0.000000,1,0.036881032,-0.047253742,-0.008222677,0.060504042
current,positive_b_baseline,positive_b_baseline_t3,3,11,5.000000,45.000000,1,-0.015246968,0.011197258,-0.005628677,0.019736530
current,positive_b_baseline,positive_b_baseline_t3,3,12,5.000000,90.000000,1,-0.029304968,0.057283258,0.005038323,0.064540975
current,positive_b_baseline,positive_b_baseline_t3,3,14,5.000000,180.000000,1,-0.040880968,0.017408258,0.012078323,0.046045487
current,positive_b_baseline,positive_b_baseline_t3,3,15,5.000000,225.000000,1,-0.059512968,-0.015378742,0.009378323,0.062179192
current,positive_b_baseline,positive_b_baseline_t3,3,16,5.000000,270.000000,1,0.009413032,-0.057963742,0.007619323,0.059215324
current,positive_b_baseline,positive_b_baseline_t3,3,18,5.000000,0.000000,1,0.036489032,-0.042514742,-0.003460677,0.056133137
current,positive_b_baseline,positive_b_baseline_t3,3,19,15.000000,0.000000,1,0.033523032,-0.038425742,-0.016983677,0.053747341
current,positive_b_baseline,positive_b_baseline_t3,3,20,15.000000,45.000000,1,0.073067032,0.048150258,0.018132323,0.089364533
current,positive_b_baseline,positive_b_baseline_t3,3,21,15.000000,90.000000,1,-0.061458968,0.120423258,0.011128323,0.135656940
current,positive_b_baseline,positive_b_baseline_t3,3,23,15.000000,180.000000,1,-0.006231968,0.022043258,0.003905323,0.023237775
current,positive_b_baseline,positive_b_baseline_t3,3,24,15.000000,225.000000,1,-0.022001968,-0.002282742,-0.009376677,0.024025394
current,positive_b_baseline,positive_b_baseline_t3,3,25,15.000000,270.000000,1,-0.013013968,-0.055706742,-0.013203677,0.058710660
current,positive_b_baseline,positive_b_baseline_t3,3,27,15.000000,0.000000,1,0.035009032,-0.042880742,-0.021394677,0.059347473
current,positive_b_baseline,positive_b_baseline_t3,3,28,30.000000,0.000000,0,0.045392032,-0.046889742,0.000419323,0.065263009
current,positive_b_baseline,positive_b_baseline_t3,3,29,30.000000,45.000000,0,0.018490032,0.084179258,0.000177323,0.086186195
current,positive_b_baseline,positive_b_baseline_t3,3,30,30.000000,90.000000,0,-0.034353968,0.199112258,0.019305323,0.202974338
current,positive_b_baseline,positive_b_baseline_t3,3,32,30.000000,180.000000,0,-0.029691968,0.077864258,-0.003153677,0.083393053
current,positive_b_baseline,positive_b_baseline_t3,3,33,30.000000,225.000000,0,0.024694032,-0.000294742,-0.019740677,0.031616079
current,positive_b_baseline,positive_b_baseline_t3,3,34,30.000000,270.000000,0,-0.000683968,-0.068937742,-0.032636677,0.076276030
current,positive_b_baseline,positive_b_baseline_t3,3,36,30.000000,0.000000,0,0.096631032,0.005897258,0.013009323,0.097680994
current,positive_b_baseline,positive_b_baseline_t3,3,37,0.000000,0.000000,0,0.044766032,0.006730258,-0.003990677,0.045444686
current,positive_b_baseline,positive_b_baseline_t4,4,1,0.000000,0.000000,1,0.013453290,-0.059170968,-0.010602871,0.061600449
current,positive_b_baseline,positive_b_baseline_t4,4,2,0.000000,45.000000,1,0.021295290,-0.022228968,-0.006768871,0.031518788
current,positive_b_baseline,positive_b_baseline_t4,4,3,0.000000,90.000000,1,0.029136290,0.028136032,0.006231129,0.040980321
current,positive_b_baseline,positive_b_baseline_t4,4,4,0.000000,135.000000,1,-0.009430710,0.051231032,0.020065129,0.055822633
current,positive_b_baseline,positive_b_baseline_t4,4,5,0.000000,180.000000,1,-0.029080710,0.055598032,0.029732129,0.069432185
current,positive_b_baseline,positive_b_baseline_t4,4,6,0.000000,225.000000,1,-0.038843710,0.019572032,0.026065129,0.050707881
current,positive_b_baseline,positive_b_baseline_t4,4,7,0.000000,270.000000,1,-0.010439710,-0.030604968,0.014898129,0.035603453
current,positive_b_baseline,positive_b_baseline_t4,4,8,0.000000,315.000000,1,-0.001331710,-0.057615968,-0.000435871,0.057633004
current,positive_b_baseline,positive_b_baseline_t4,4,9,0.000000,0.000000,1,0.017205290,-0.054493968,-0.009101871,0.057865867
current,positive_b_baseline,positive_b_baseline_t4,4,10,5.000000,0.000000,1,0.093476290,-0.072981968,-0.001912871,0.118607940
current,positive_b_baseline,positive_b_baseline_t4,4,11,5.000000,45.000000,1,0.050578290,0.005277032,-0.001099871,0.050864725
current,positive_b_baseline,positive_b_baseline_t4,4,12,5.000000,90.000000,1,0.015061290,0.076425032,0.012419129,0.078878785
current,positive_b_baseline,positive_b_baseline_t4,4,14,5.000000,180.000000,1,-0.021388710,0.063795032,0.021407129,0.070608415
current,positive_b_baseline,positive_b_baseline_t4,4,15,5.000000,225.000000,1,-0.080074710,0.026632032,0.013449129,0.085452345
current,positive_b_baseline,positive_b_baseline_t4,4,16,5.000000,270.000000,1,-0.018291710,-0.046901968,0.004998129,0.050590142
current,positive_b_baseline,positive_b_baseline_t4,4,18,5.000000,0.000000,1,0.092360290,-0.067748968,-0.000018871,0.114544080
current,positive_b_baseline,positive_b_baseline_t4,4,19,15.000000,0.000000,1,0.042932290,-0.054562968,-0.013174871,0.070667363
current,positive_b_baseline,positive_b_baseline_t4,4,20,15.000000,45.000000,1,0.149343290,0.052676032,0.017428129,0.159317050
current,positive_b_baseline,positive_b_baseline_t4,4,21,15.000000,90.000000,1,-0.021064710,0.150343032,0.022686129,0.153497263
current,positive_b_baseline,positive_b_baseline_t4,4,23,15.000000,180.000000,1,-0.084625710,0.068406032,0.030081129,0.112897167
current,positive_b_baseline,positive_b_baseline_t4,4,24,15.000000,225.000000,1,-0.048295710,0.011133032,0.005787129,0.049899006
current,positive_b_baseline,positive_b_baseline_t4,4,25,15.000000,270.000000,1,-0.043131710,-0.087495968,-0.004781871,0.097666550
current,positive_b_baseline,positive_b_baseline_t4,4,27,15.000000,0.000000,1,0.047311290,-0.048993968,-0.014888871,0.069716896
current,positive_b_baseline,positive_b_baseline_t4,4,28,30.000000,0.000000,1,0.131729290,-0.092174968,-0.043611871,0.166585791
current,positive_b_baseline,positive_b_baseline_t4,4,29,30.000000,45.000000,1,0.071491290,0.107845032,-0.009379871,0.129728708
current,positive_b_baseline,positive_b_baseline_t4,4,30,30.000000,90.000000,1,-0.060383710,0.237673032,0.014879129,0.245674686
current,positive_b_baseline,positive_b_baseline_t4,4,32,30.000000,180.000000,1,-0.129704710,0.062889032,-0.008577871,0.144401946
current,positive_b_baseline,positive_b_baseline_t4,4,33,30.000000,225.000000,1,-0.210204710,-0.035521968,-0.034605871,0.215975453
current,positive_b_baseline,positive_b_baseline_t4,4,34,30.000000,270.000000,1,-0.113074710,-0.138740968,-0.030019871,0.181483164
current,positive_b_baseline,positive_b_baseline_t4,4,36,30.000000,0.000000,1,0.131388290,-0.089840968,-0.044176871,0.165184377
current,positive_b_baseline,positive_b_baseline_t4,4,37,0.000000,0.000000,1,0.012605290,-0.058551968,-0.006967871,0.060297409
current,high_b_t3,high_b_t3,3,1,0.000000,0.000000,1,-0.097356250,0.004718583,-0.081677750,0.127168232
current,high_b_t3,high_b_t3,3,2,45.000000,0.000000,1,-0.041252250,-0.013679417,-0.071871750,0.083990613
current,high_b_t3,high_b_t3,3,3,45.000000,90.000000,1,-0.119581250,0.162632583,0.023807250,0.203262927
current,high_b_t3,high_b_t3,3,4,45.000000,180.000000,1,0.009806750,0.085717583,-0.000213750,0.086277008
current,high_b_t3,high_b_t3,3,5,45.000000,270.000000,1,-0.082805250,-0.062070417,-0.072024750,0.126083348
current,high_b_t3,high_b_t3,3,6,45.000000,0.000000,1,-0.034871250,-0.009454417,-0.071724750,0.080310833
current,high_b_t3,high_b_t3,3,7,90.000000,0.000000,1,-0.007567250,-0.036633417,0.077720250,0.086253740
current,high_b_t3,high_b_t3,3,8,90.000000,90.000000,1,-0.007502250,-0.075481417,0.070678250,0.103678074
current,high_b_t3,high_b_t3,3,9,90.000000,180.000000,1,0.361700750,0.044137583,0.091787250,0.375766494
current,high_b_t3,high_b_t3,3,10,90.000000,270.000000,1,0.079316750,-0.080433417,0.032090250,0.117432813
current,high_b_t3,high_b_t3,3,11,90.000000,0.000000,1,0.018966750,-0.029935417,0.077548250,0.085261937
current,high_b_t3,high_b_t3,3,12,0.000000,0.000000,1,-0.078855250,0.010481583,-0.076118750,0.110100309
current,high_b_t4,high_b_t4,4,1,0.000000,0.000000,1,-0.088286222,0.032336111,-0.024097444,0.097060641
current,high_b_t4,high_b_t4,4,2,45.000000,0.000000,1,0.215949778,-0.075112889,-0.012654444,0.228989929
current,high_b_t4,high_b_t4,4,3,45.000000,90.000000,1,-0.091881222,0.264124111,0.049035556,0.283915816
current,high_b_t4,high_b_t4,4,4,45.000000,180.000000,1,-0.176936222,0.108547111,-0.020683444,0.208606584
current,high_b_t4,high_b_t4,4,5,45.000000,270.000000,1,-0.157778222,-0.054993889,0.005019556,0.167163068
current,high_b_t4,high_b_t4,4,6,45.000000,0.000000,1,0.207736778,-0.077441889,-0.010562444,0.221953554
current,high_b_t4,high_b_t4,4,7,90.000000,0.000000,1,0.061473778,-0.123907889,0.025550556,0.140659238
current,high_b_t4,high_b_t4,4,8,90.000000,90.000000,1,-0.065512222,-0.086678889,-0.030915444,0.112963913
current,high_b_t4,high_b_t4,4,9,90.000000,180.000000,1,0.095233778,0.013128111,0.019307556,0.098054074
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,1,0.000000,0.000000,1,-0.036605587,-0.023985042,-0.022607280,0.049257896
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,2,0.000000,45.000000,1,-0.062009156,-0.036644908,-0.018774280,0.074434255
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,3,0.000000,90.000000,1,-0.038074863,-0.044280325,-0.006608280,0.058771692
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,4,0.000000,135.000000,1,-0.026212997,-0.048467895,0.005558720,0.055381923
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,5,0.000000,180.000000,1,0.007583420,-0.029533602,0.012724720,0.033040284
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,6,0.000000,225.000000,1,0.026065989,-0.014721736,0.013224720,0.032727030
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,7,0.000000,270.000000,1,0.041326697,-0.014404319,0.005390720,0.044095806
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,8,0.000000,315.000000,1,0.002839831,-0.012869750,-0.009943280,0.016509510
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,9,0.000000,0.000000,1,-0.038259587,-0.018893042,-0.021110280,0.047606585
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,10,5.000000,0.000000,1,-0.002094103,-0.024890118,-0.013040482,0.028177250
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,11,5.000000,45.000000,1,-0.059545602,-0.006915462,-0.010446482,0.060849251
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,12,5.000000,90.000000,1,-0.048746788,0.006785159,0.000220518,0.049217236
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,14,5.000000,180.000000,1,0.012538936,-0.013556526,0.007260518,0.019842365
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,15,5.000000,225.000000,1,-0.000769565,-0.005867183,0.004560518,0.007470903
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,16,5.000000,270.000000,1,0.043299621,-0.016066803,0.002801518,0.046269297
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,18,5.000000,0.000000,1,-0.002486103,-0.020151118,-0.008278482,0.021926731
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,19,15.000000,0.000000,1,-0.004046129,-0.016062719,-0.013838976,0.021584702
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,20,15.000000,45.000000,1,0.029762997,0.031031287,0.021277024,0.047973831
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,21,15.000000,90.000000,1,-0.080900186,0.071331132,0.014273024,0.108796552
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,23,15.000000,180.000000,1,0.045781962,-0.008920925,0.007050024,0.047172808
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,24,15.000000,225.000000,1,0.035746836,0.006235069,-0.006231976,0.036817794
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,25,15.000000,270.000000,1,0.020872019,-0.015215777,-0.010058976,0.027719020
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,27,15.000000,0.000000,1,-0.002560129,-0.020517719,-0.018249976,0.027578845
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,28,30.000000,0.000000,0,0.012459575,-0.024528702,0.014750429,0.031216556
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,29,30.000000,45.000000,0,-0.021533957,0.070337529,0.014508429,0.074977156
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,30,30.000000,90.000000,0,-0.053793204,0.154656836,0.033636429,0.167164156
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,32,30.000000,180.000000,0,0.017685258,0.046902058,0.011177429,0.051356658
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,33,30.000000,225.000000,0,0.079162790,0.004945826,-0.005409571,0.079501396
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,34,30.000000,270.000000,0,0.033200037,-0.033083481,-0.018305571,0.050317522
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,36,30.000000,0.000000,0,0.063698575,0.028258298,0.027340429,0.074856789
tool_vector_only,positive_b_baseline,positive_b_baseline_t3,3,37,0.000000,0.000000,0,0.005613413,0.029093958,-0.012851280,0.032297433
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,1,0.000000,0.000000,1,-0.056386639,-0.019278893,-0.026408299,0.065180725
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,2,0.000000,45.000000,1,-0.057947995,-0.054761970,-0.022574299,0.082864000
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,3,0.000000,90.000000,1,-0.005543909,-0.062258410,-0.009574299,0.063233786
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,4,0.000000,135.000000,1,0.028314168,-0.048566766,0.004259701,0.056378790
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,5,0.000000,180.000000,1,0.066525608,0.000363320,0.013926701,0.067968681
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,6,0.000000,225.000000,1,0.066165965,0.036762397,0.010259701,0.076385013
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,7,0.000000,270.000000,1,0.050006878,0.044446837,-0.000907299,0.066910630
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,8,0.000000,315.000000,1,-0.013310199,0.026839193,-0.016241299,0.034077609
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,9,0.000000,0.000000,1,-0.052634639,-0.014601893,-0.024907299,0.060033274
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,10,5.000000,0.000000,1,0.023952955,-0.033090028,-0.010506807,0.042179225
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,11,5.000000,45.000000,1,-0.028441034,-0.027032200,-0.009693807,0.040417844
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,12,5.000000,90.000000,1,-0.019618773,-0.013652817,0.003825193,0.024205945
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,14,5.000000,180.000000,1,0.073901015,0.008560455,0.012813193,0.075490525
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,15,5.000000,225.000000,1,0.024711004,0.043598627,0.004855193,0.050349249
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,16,5.000000,270.000000,1,0.042154743,0.027833244,-0.003595807,0.050642291
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,18,5.000000,0.000000,1,0.022836955,-0.027857028,-0.008612807,0.037036752
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,19,15.000000,0.000000,1,-0.024083088,-0.014672101,-0.007565393,0.029197617
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,20,15.000000,45.000000,1,0.072098118,0.022139435,0.023037607,0.078860792
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,21,15.000000,90.000000,1,-0.055743701,0.062773141,0.028295607,0.088591584
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,23,15.000000,180.000000,1,0.008156057,0.013172528,0.035690607,0.038908305
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,24,15.000000,225.000000,1,0.054715851,0.026326992,0.011396607,0.061780398
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,25,15.000000,270.000000,1,0.017313671,-0.015268714,0.000827607,0.023099389
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,27,15.000000,0.000000,1,-0.019704088,-0.009103101,-0.009279393,0.023605606
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,28,30.000000,0.000000,1,0.072984804,-0.052287637,-0.018048230,0.091577930
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,29,30.000000,45.000000,1,0.000097023,0.083154338,0.016183770,0.084714625
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,30,30.000000,90.000000,1,-0.095059164,0.158374033,0.040442770,0.189087801
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,32,30.000000,180.000000,1,-0.045193834,0.007659064,0.016985770,0.048884152
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,33,30.000000,225.000000,1,-0.113044053,-0.026173911,-0.009042230,0.116386397
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,34,30.000000,270.000000,1,-0.052632866,-0.074784606,-0.004456230,0.091557707
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,36,30.000000,0.000000,1,0.072643804,-0.049953637,-0.018613230,0.090105163
tool_vector_only,positive_b_baseline,positive_b_baseline_t4,4,37,0.000000,0.000000,1,-0.057234639,-0.018659893,-0.022773299,0.064363177
tool_vector_only,high_b_t3,high_b_t3,3,1,0.000000,0.000000,1,-0.133272223,0.022496908,-0.114666148,0.177245372
tool_vector_only,high_b_t3,high_b_t3,3,2,45.000000,0.000000,1,-0.063574095,0.004093095,-0.072063268,0.096184893
tool_vector_only,high_b_t3,high_b_t3,3,3,45.000000,90.000000,1,-0.135780687,0.120965753,0.023615732,0.183376146
tool_vector_only,high_b_t3,high_b_t3,3,4,45.000000,180.000000,1,0.053046655,0.050173161,-0.000405268,0.073016833
tool_vector_only,high_b_t3,high_b_t3,3,5,45.000000,270.000000,1,-0.045687753,-0.038175497,-0.072216268,0.093594491
tool_vector_only,high_b_t3,high_b_t3,3,6,45.000000,0.000000,1,-0.057193095,0.008318095,-0.071916268,0.092261533
tool_vector_only,high_b_t3,high_b_t3,3,7,90.000000,0.000000,1,0.002914299,-0.018874932,0.091107127,0.093087404
tool_vector_only,high_b_t3,high_b_t3,3,8,90.000000,90.000000,1,-0.023687660,-0.084344853,0.084065127,0.121417071
tool_vector_only,high_b_t3,high_b_t3,3,9,90.000000,180.000000,1,0.372137261,0.008607188,0.105174127,0.386809801
tool_vector_only,high_b_t3,high_b_t3,3,10,90.000000,270.000000,1,0.116420220,-0.089341891,0.045477127,0.153635316
tool_vector_only,high_b_t3,high_b_t3,3,11,90.000000,0.000000,1,0.029448299,-0.012176932,0.090935127,0.096357031
tool_vector_only,high_b_t3,high_b_t3,3,12,0.000000,0.000000,1,-0.114771223,0.028259908,-0.109107148,0.160858403
tool_vector_only,high_b_t4,high_b_t4,4,1,0.000000,0.000000,1,-0.150039877,0.069326551,-0.084173450,0.185481279
tool_vector_only,high_b_t4,high_b_t4,4,2,45.000000,0.000000,1,0.178445151,-0.038132818,-0.014227805,0.183027905
tool_vector_only,high_b_t4,high_b_t4,4,3,45.000000,90.000000,1,-0.118464778,0.195077061,0.047462195,0.233112898
tool_vector_only,high_b_t4,high_b_t4,4,4,45.000000,180.000000,1,-0.097492657,0.050421132,-0.022256805,0.111993188
tool_vector_only,high_b_t4,high_b_t4,4,5,45.000000,270.000000,1,-0.089255728,-0.007092747,0.003446195,0.089603395
tool_vector_only,high_b_t4,high_b_t4,4,6,45.000000,0.000000,1,0.170232151,-0.040461818,-0.012135805,0.175395045
tool_vector_only,high_b_t4,high_b_t4,4,7,90.000000,0.000000,1,0.082483416,-0.086952839,0.048198159,0.129179614
tool_vector_only,high_b_t4,high_b_t4,4,8,90.000000,90.000000,1,-0.092070757,-0.097211674,-0.008267841,0.134147274
tool_vector_only,high_b_t4,high_b_t4,4,9,90.000000,180.000000,1,0.116163078,-0.044972847,0.041955159,0.131440683
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,1,0.000000,0.000000,1,-0.047020773,-0.006792929,-0.029138589,0.055732884
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,2,0.000000,45.000000,1,-0.082543104,-0.036022680,-0.025305589,0.093548759
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,3,0.000000,90.000000,1,-0.054047178,-0.062529819,-0.013139589,0.083688259
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,4,0.000000,135.000000,1,-0.025615428,-0.076836150,-0.000972589,0.080999321
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,5,0.000000,180.000000,1,0.027052712,-0.053340225,0.006193411,0.060128089
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,6,0.000000,225.000000,1,0.055654042,-0.021958474,0.006693411,0.060202565
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,7,0.000000,270.000000,1,0.066353117,-0.002769335,-0.001140589,0.066420677
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,8,0.000000,315.000000,1,0.011296367,0.008883996,-0.016474589,0.021861962
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,9,0.000000,0.000000,1,-0.048674773,-0.001700929,-0.027641589,0.056001644
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,10,5.000000,0.000000,1,-0.019516534,-0.007695009,-0.017720159,0.027461105
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,11,5.000000,45.000000,1,-0.085036539,-0.011245985,-0.015126159,0.087100436
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,12,5.000000,90.000000,1,-0.064722099,-0.018471581,-0.004459159,0.067453936
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,14,5.000000,180.000000,1,0.039015473,-0.037366145,0.002580841,0.054084163
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,15,5.000000,225.000000,1,0.033775478,-0.008151169,-0.000119159,0.034745340
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,16,5.000000,270.000000,1,0.068329037,0.002575427,-0.001878159,0.068403345
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,18,5.000000,0.000000,1,-0.019908534,-0.002956009,-0.012958159,0.023937452
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,19,15.000000,0.000000,1,-0.034867018,0.001138119,-0.013023050,0.037237133
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,20,15.000000,45.000000,1,-0.005206132,0.017230675,0.022092950,0.028497340
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,21,15.000000,90.000000,1,-0.096881227,0.032675936,0.015088950,0.103350691
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,23,15.000000,180.000000,1,0.085656956,-0.032736273,0.007865950,0.092036139
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,24,15.000000,225.000000,1,0.079770070,0.013421171,-0.005416050,0.081072348
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,25,15.000000,270.000000,1,0.045907166,0.016824910,-0.009243050,0.049759214
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,27,15.000000,0.000000,1,-0.033381018,-0.003316881,-0.017434050,0.037805293
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,28,30.000000,0.000000,0,-0.036170104,-0.007320248,0.027944622,0.046290003
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,29,30.000000,45.000000,0,-0.069101186,0.043949585,0.027702622,0.086452156
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,30,30.000000,90.000000,0,-0.069781859,0.098192849,0.046830622,0.129245699
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,32,30.000000,180.000000,0,0.075369043,0.023079094,0.024371622,0.082505232
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,33,30.000000,225.000000,0,0.135784125,0.024719261,0.007784622,0.138235201
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,34,30.000000,270.000000,0,0.058242798,0.016765997,-0.005111378,0.060823091
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,36,30.000000,0.000000,0,0.015068896,0.045466752,0.040534622,0.062748328
rigid_translation,positive_b_baseline,positive_b_baseline_t3,3,37,0.000000,0.000000,0,-0.004801773,0.046286071,-0.019382589,0.050409742
rigid_translation,positive_b_baseline,positive_b_baseline_t4,4,1,0.000000,0.000000,1,-0.036114515,-0.019615155,-0.025994783,0.048628605
rigid_translation,positive_b_baseline,positive_b_baseline_t4,4,2,0.000000,45.000000,1,-0.043662846,-0.039844906,-0.022160783,0.063128131
rigid_translation,positive_b_baseline,positive_b_baseline_t4,4,3,0.000000,90.000000,1,-0.006277920,-0.040789045,-0.009160783,0.042273851
rigid_translation,positive_b_baseline,positive_b_baseline_t4,4,4,0.000000,135.000000,1,0.012326830,-0.033084376,0.004673217,0.035614121
rigid_translation,positive_b_baseline,positive_b_baseline_t4,4,5,0.000000,180.000000,1,0.043985970,0.000826549,0.014340217,0.046271920
