abs_b_deg,abs_c_deg,pass_num,accepted,program_probe_tool_number,current_tool_number,tool_offset_x_mm,tool_offset_y_mm,tool_offset_z_mm,tool_diameter_mm,probe_calibration_offset_mm,motion_tooloffset_x_mm,motion_tooloffset_y_mm,motion_tooloffset_z_mm
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,135.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,135.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,315.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,315.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-90.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
-30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,135.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,135.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,315.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,315.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,180.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,225.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,225.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,270.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,270.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
30.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,0.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,45.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,45.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,90.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
60.000000,90.000000,2.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134533,0.000000,0.000000,0.000000
